date,hour,shanghai,beijing,guangzhou,shenzhen
20150102,0,0.0,0.0,0.0,0.0
20150102,1,75.0,114.0,75.0,103.0
20150102,2,76.0,104.0,71.0,104.0
20150102,3,80.0,92.0,67.0,104.0
20150102,4,85.0,64.0,66.0,99.0
20150102,5,92.0,48.0,64.0,93.0
20150102,6,96.0,28.0,61.0,88.0
20150102,7,97.0,22.0,62.0,80.0
20150102,8,109.0,25.0,61.0,74.0
20150102,9,111.0,25.0,61.0,71.0
20150102,10,109.0,31.0,61.0,68.0
20150102,11,104.0,34.0,60.0,71.0
20150102,12,103.0,29.0,60.0,76.0
20150102,13,104.0,20.0,62.0,83.0
20150102,14,106.0,33.0,62.0,87.0
20150102,15,99.0,36.0,64.0,90.0
20150102,16,93.0,60.0,67.0,95.0
20150102,17,94.0,88.0,67.0,107.0
20150102,18,108.0,106.0,72.0,88.0
20150102,19,120.0,113.0,89.0,88.0
20150102,20,131.0,116.0,111.0,87.0
20150102,21,133.0,128.0,128.0,81.0
20150102,22,139.0,142.0,139.0,75.0
20150102,23,143.0,150.0,139.0,70.0
20150103,0,148.0,163.0,148.0,65.0
20150103,1,156.0,168.0,147.0,64.0
20150103,2,150.0,175.0,135.0,64.0
20150103,3,148.0,178.0,125.0,63.0
20150103,4,146.0,184.0,120.0,63.0
20150103,5,143.0,181.0,122.0,64.0
20150103,6,137.0,184.0,127.0,64.0
20150103,7,137.0,186.0,132.0,64.0
20150103,8,133.0,188.0,136.0,74.0
20150103,9,136.0,175.0,139.0,76.0
20150103,10,138.0,170.0,137.0,67.0
20150103,11,136.0,165.0,130.0,72.0
20150103,12,125.0,168.0,127.0,69.0
20150103,13,116.0,184.0,121.0,70.0
20150103,14,111.0,184.0,117.0,74.0
20150103,15,109.0,186.0,114.0,77.0
20150103,16,109.0,186.0,111.0,82.0
20150103,17,114.0,192.0,114.0,76.0
20150103,18,124.0,211.0,126.0,81.0
20150103,19,135.0,232.0,133.0,77.0
20150103,20,141.0,242.0,149.0,67.0
20150103,21,135.0,256.0,168.0,56.0
20150103,22,127.0,247.0,171.0,60.0
20150103,23,117.0,254.0,170.0,57.0
20150104,0,108.0,255.0,147.0,57.0
20150104,12,253.0,154.0,85.0,63.0
20150104,13,237.0,149.0,81.0,55.0
20150104,14,208.0,146.0,81.0,67.0
20150104,15,172.0,142.0,72.0,66.0
20150104,16,163.0,158.0,80.0,66.0
20150104,17,157.0,170.0,72.0,71.0
20150104,19,178.0,263.0,91.0,63.0
20150104,20,207.0,289.0,106.0,68.0
20150104,21,214.0,306.0,106.0,57.0
20150104,22,206.0,300.0,94.0,61.0
20150104,23,193.0,280.0,91.0,58.0
20150105,0,148.0,261.0,94.0,60.0
20150105,1,124.0,262.0,76.0,58.0
20150105,2,110.0,239.0,72.0,60.0
20150105,3,99.0,228.0,75.0,59.0
20150105,4,89.0,229.0,75.0,56.0
20150105,5,85.0,222.0,76.0,54.0
20150105,6,82.0,219.0,74.0,55.0
20150105,7,75.0,220.0,72.0,57.0
20150105,8,70.0,216.0,75.0,60.0
20150105,9,70.0,210.0,76.0,65.0
20150105,10,72.0,208.0,81.0,63.0
20150105,11,87.0,200.0,81.0,58.0
20150105,12,80.0,137.0,93.0,55.0
20150105,13,70.0,92.0,98.0,61.0
20150105,14,71.0,93.0,99.0,47.0
20150105,17,109.0,79.0,78.0,52.0
20150105,18,136.0,66.0,75.0,59.0
20150105,19,168.0,70.0,78.0,56.0
20150105,20,189.0,54.0,87.0,52.0
20150105,21,186.0,34.0,83.0,53.0
20150105,22,172.0,34.0,88.0,49.0
20150105,23,157.0,34.0,98.0,53.0
20150106,0,182.0,33.0,106.0,54.0
20150106,1,228.0,32.0,109.0,55.0
20150106,2,265.0,32.0,127.0,56.0
20150106,3,305.0,31.0,109.0,56.0
20150106,4,305.0,30.0,111.0,56.0
20150106,5,254.0,29.0,104.0,58.0
